Dataset,Compression_Config,Compression_Ratio,Teacher_Arch,Student_Arch,Baseline,Teacher_Acc,Student_Acc_Mean,Student_Acc_Std,Retention_%,Train_Time_Mean,Train_Time_Std,N_Runs,Individual_Accs
CIFAR100,2.3x_ResNet18,2.3,resnet50,resnet18,Direct,61.86,61.274,0.40755858474580037,99.05269964435823,2523.0564663887026,18.05392574036016,5,"[61.67, 60.89, 61.86, 61.02, 60.93]"
CIFAR100,2.3x_ResNet18,2.3,resnet50,resnet18,TraditionalKD,61.86,62.464,0.19825236442473884,100.97639831878436,2857.3005373954775,4.867024402392676,5,"[62.27, 62.3, 62.34, 62.72, 62.69]"
CIFAR100,2.3x_ResNet18,2.3,resnet50,resnet18,HPM-KD,61.86,62.274,0.2554681976293712,100.66925315227935,2867.1954691886904,16.398061434452387,5,"[62.3, 61.88, 62.14, 62.64, 62.41]"
CIFAR100,5x_ResNet10,5.0,resnet50,resnet10,Direct,60.89,72.638,0.3530099148749181,119.29380850714404,3439.220546579361,1.5636418577340172,5,"[73.07, 72.51, 72.4, 73.03, 72.18]"
CIFAR100,5x_ResNet10,5.0,resnet50,resnet10,TraditionalKD,60.89,73.338,0.2962026333441325,120.44342256528165,4349.8402207374575,2.506165745680305,5,"[73.26, 73.66, 72.81, 73.41, 73.55]"
CIFAR100,5x_ResNet10,5.0,resnet50,resnet10,HPM-KD,60.89,73.214,0.22410711724530286,120.23977664641157,4345.345589876175,1.2552623821939917,5,"[72.8, 73.46, 73.34, 73.2, 73.27]"
CIFAR100,7x_MobileNetV2,7.0,resnet50,mobilenet_v2,Direct,63.68,54.822,0.38953305379646563,86.08982412060303,3259.4663536071776,12.805853849718433,5,"[54.36, 55.43, 54.97, 54.91, 54.44]"
CIFAR100,7x_MobileNetV2,7.0,resnet50,mobilenet_v2,TraditionalKD,63.68,59.076,1.1882524984194218,92.77010050251256,3594.7096190929415,19.883344061425298,5,"[57.89, 60.0, 60.0, 57.38, 60.11]"
CIFAR100,7x_MobileNetV2,7.0,resnet50,mobilenet_v2,HPM-KD,63.68,56.86,0.3107410497504318,89.29020100502512,3589.412428379059,15.225042342337792,5,"[56.95, 56.73, 57.23, 57.06, 56.33]"
